musica
melodia
armonia
ritmo
compas
tempo
tono
escala
acorde
notacion
partitura
sinfonia
concierto
sonata
opera
ballet
obertura
suite
orquesta
coro
banda
soprano
tenor
baritono
bajo
mezzosoprano
contralto
clave
piano
forte
crescendo
decrescendo
legato
staccato
vibrato
fermata
trino
intervalo
modulacion
arpeggio
cadenza
canon
fuga
contrapunto
motivo
tema
variacion
improvisacion
jazz
blues
rock
pop
hiphop
reggae
salsa
merengue
tango
flamenco
bossa
samba
country
folk
electronica
dj
remix
sampleo
beat
bateria
bajo
guitarra
teclado
piano
violin
viola
violonchelo
contrabajo
flauta
clarinete
oboe
fagot
trompeta
trombon
tuba
saxofon
arpa
mandolina
banjo
ukelele
timbales
marimba
xilofono
triangulo
campanas
platillos
tambor
caja
congas
bongos
djembe
